date,equity
2026-01-12,125.77
2026-01-13,137.17
2026-01-14,141.37
2026-01-15,134.77
2026-01-16,145.27
2026-01-20,128.02
2026-01-21,136.72
2026-01-22,168.14
2026-01-23,181.82
2026-01-26,168.71
2026-01-27,172.7
2026-01-28,160.75
2026-01-29,160.51
2026-01-30,162.55
2026-02-02,288.72
2026-02-03,289.45
2026-02-04,291.13
2026-02-05,289.78
2026-02-06,294.15
2026-02-09,290.42
2026-02-10,291.69
2026-02-11,290.8
2026-02-12,293.76
2026-02-13,301.4
2026-02-17,301.27
2026-02-18,305.72
2026-02-19,305.73
2026-02-20,303.38
2026-02-23,297.5
2026-02-24,301.41
2026-02-25,301.94
2026-02-26,296.37
2026-02-27,296.64
2026-03-02,424.1
2026-03-03,413.06
2026-03-04,417.35
2026-03-05,409.5
2026-03-06,400.62
2026-03-09,399.23
2026-03-10,395.14
2026-03-11,399.35
2026-03-12,382.98
2026-03-13,385.87
2026-03-16,374.95
2026-03-17,365.94
2026-03-18,362.29
2026-03-19,350.06
2026-03-20,347.62
2026-03-23,364.91
2026-03-24,353.9
2026-03-25,353.6
2026-03-26,371.24
2026-03-27,356.75
2026-03-30,349.23
2026-03-31,356.9
2026-04-01,474.16
2026-04-02,486.06
2026-04-06,486.3
2026-04-07,489.31
2026-04-08,483.83
2026-04-09,481.04
2026-04-10,479.03
2026-04-13,485.05
2026-04-14,483.18
2026-04-15,482.78
2026-04-16,483.29
2026-04-17,485.28
2026-04-20,486.12
2026-04-21,485.25
2026-04-22,488.01
2026-04-23,487.08
2026-04-24,479.69
2026-04-27,482.07
2026-04-28,489.83
2026-04-29,494.43
2026-04-30,502.86
2026-05-01,626.7
2026-05-04,625.49
2026-05-05,628.11
2026-05-06,622.81
2026-05-07,622.9
2026-05-08,615.94
2026-05-11,617.47
2026-05-12,617.46
2026-05-13,610.33
2026-05-14,613.36
2026-05-15,601.54
2026-05-18,607.22
2026-05-19,607.5
2026-05-20,614.56
2026-05-21,608.23
2026-05-22,611.91
2026-05-26,606.0
2026-05-27,602.91
2026-05-28,616.22
2026-05-29,613.22
2026-06-01,735.93
2026-06-02,727.94
2026-06-03,720.54
2026-06-04,728.03
2026-06-05,725.2
2026-06-08,726.22
2026-06-09,738.32
2026-06-10,735.89
2026-06-11,734.66
2026-06-12,743.65
2026-06-15,743.59
2026-06-16,741.63
2026-06-17,728.5
2026-06-18,740.27
2026-06-22,727.69
2026-06-23,733.68
2026-06-24,754.79
2026-06-25,747.36
2026-06-26,765.34
2026-06-29,762.09
2026-06-30,746.34
2026-07-01,882.36
2026-07-02,889.18
2026-07-06,888.5
2026-07-07,891.84
2026-07-08,901.02
2026-07-09,914.75
